Protein_ID	Annotation
Dcor_evm.model.hic_scaffold_64_pilon.31	hypothetical protein
Dcor_evm.model.hic_scaffold_64_pilon.32	hypothetical protein
Dcor_evm.model.hic_scaffold_64_pilon.33	hypothetical protein NEMVEDRAFT_v1g144035
Dcor_evm.model.hic_scaffold_64_pilon.34	hypothetical protein
Dcor_evm.model.hic_scaffold_64_pilon.35	hypothetical protein
Dcor_evm.model.hic_scaffold_64_pilon.36	Adult-specific cuticular protein ACP-20
Dcor_evm.model.hic_scaffold_64_pilon.37	hypothetical protein
Dcor_evm.model.hic_scaffold_64_pilon.38	hypothetical protein
Dcor_evm.model.hic_scaffold_64_pilon.39	hypothetical protein
Dcor_evm.model.hic_scaffold_64_pilon.4	Forkhead box protein F1
Dcor_evm.model.hic_scaffold_64_pilon.40	ER membrane protein complex subunit 8/9 homolog
Dcor_evm.model.hic_scaffold_64_pilon.41	Spermine oxidase
Dcor_evm.model.hic_scaffold_64_pilon.42	PREDICTED: uncharacterized protein LOC108565394
Dcor_evm.model.hic_scaffold_64_pilon.43	Ubiquitin domain-containing protein UBFD1
Dcor_evm.model.hic_scaffold_64_pilon.44	Polycomb protein SUZ12
Dcor_evm.model.hic_scaffold_64_pilon.45	PREDICTED: uncharacterized protein LOC108565403 isoform X1
Dcor_evm.model.hic_scaffold_64_pilon.46	Methyltransferase-like protein 22
Dcor_evm.model.hic_scaffold_64_pilon.47	Protein disulfide-isomerase
Dcor_evm.model.hic_scaffold_64_pilon.48	Pleckstrin homology domain-containing family G member 1
Dcor_evm.model.hic_scaffold_64_pilon.5	Forkhead box protein C2-A
Dcor_evm.model.hic_scaffold_64_pilon.6	Paraplegin
Dcor_evm.model.hic_scaffold_64_pilon.7	Protein twisted gastrulation
Dcor_evm.model.hic_scaffold_64_pilon.8	39S ribosomal protein L41, mitochondrial
Dcor_evm.model.hic_scaffold_64_pilon.9	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit wuho 
Dcor_evm.model.hic_scaffold_65_pilon.1	uncharacterized protein LOC113558260
Dcor_evm.model.hic_scaffold_66_pilon.1	hypothetical protein
Dcor_evm.model.hic_scaffold_66_pilon.2	EGF domain-specific O-linked N-acetylglucosamine transferase
Dcor_evm.model.hic_scaffold_66_pilon.3	GPI-anchored wall transfer protein 1
Dcor_evm.model.hic_scaffold_66_pilon.4	PREDICTED: uncharacterized protein LOC108563987
Dcor_evm.model.hic_scaffold_66_pilon.5	Golgin subfamily A member 1 
Dcor_evm.model.hic_scaffold_66_pilon.6	hypothetical protein
Dcor_evm.model.hic_scaffold_66_pilon.7	Long-chain fatty acid transport protein 1 
Dcor_evm.model.hic_scaffold_66_pilon.8	Long-chain fatty acid transport protein 4 
Dcor_evm.model.hic_scaffold_67_pilon.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94
Dcor_evm.model.hic_scaffold_67_pilon.10	nucleic acid binding protein from transposon X element, partial
Dcor_evm.model.hic_scaffold_67_pilon.11	hypothetical protein
Dcor_evm.model.hic_scaffold_67_pilon.12	uncharacterized protein LOC113384917
Dcor_evm.model.hic_scaffold_67_pilon.13	Retrovirus-related Pol polyprotein from transposon 297 
Dcor_evm.model.hic_scaffold_67_pilon.14	hypothetical protein LUCCR_116730
Dcor_evm.model.hic_scaffold_67_pilon.15	hypothetical protein
Dcor_evm.model.hic_scaffold_67_pilon.16	hypothetical protein
Dcor_evm.model.hic_scaffold_67_pilon.17	uncharacterized protein LOC113381760, partial
Dcor_evm.model.hic_scaffold_67_pilon.18	PREDICTED: uncharacterized protein LOC103570413
Dcor_evm.model.hic_scaffold_67_pilon.19	Craniofacial development protein 2
Dcor_evm.model.hic_scaffold_67_pilon.2	hypothetical protein evm_012949
Dcor_evm.model.hic_scaffold_67_pilon.20	hypothetical protein
Dcor_evm.model.hic_scaffold_67_pilon.21	hypothetical protein
Dcor_evm.model.hic_scaffold_67_pilon.22	hypothetical protein
Dcor_evm.model.hic_scaffold_67_pilon.23	RNA-directed DNA polymerase from mobile element jockey
Dcor_evm.model.hic_scaffold_67_pilon.24	hypothetical protein
Dcor_evm.model.hic_scaffold_67_pilon.25	PREDICTED: uncharacterized protein LOC109538231
Dcor_evm.model.hic_scaffold_67_pilon.26	PREDICTED: RNA-directed DNA polymerase from mobile element jockey-like
Dcor_evm.model.hic_scaffold_67_pilon.27	hypothetical protein
Dcor_evm.model.hic_scaffold_67_pilon.3	Copia protein
Dcor_evm.model.hic_scaffold_67_pilon.4	Copia protein
Dcor_evm.model.hic_scaffold_67_pilon.5	Copia protein
Dcor_evm.model.hic_scaffold_67_pilon.6	nucleic acid binding protein from transposon X element, partial
Dcor_evm.model.hic_scaffold_67_pilon.7	hypothetical protein BDFB_013312, partial
Dcor_evm.model.hic_scaffold_67_pilon.8	Probable RNA-directed DNA polymerase from transposon BS
Dcor_evm.model.hic_scaffold_67_pilon.9	gag-pol polyprotein
Dcor_evm.model.hic_scaffold_68_pilon.1	PREDICTED: uncharacterized protein LOC107218310
Dcor_evm.model.hic_scaffold_68_pilon.10	N-alpha-acetyltransferase 35, NatC auxiliary subunit
Dcor_evm.model.hic_scaffold_68_pilon.11	PREDICTED: uncharacterized protein LOC103309185
Dcor_evm.model.hic_scaffold_68_pilon.12	hypothetical protein
Dcor_evm.model.hic_scaffold_68_pilon.13	Probable RNA-directed DNA polymerase from transposon BS
Dcor_evm.model.hic_scaffold_68_pilon.14	Probable RNA-directed DNA polymerase from transposon BS
Dcor_evm.model.hic_scaffold_68_pilon.15	hypothetical protein
Dcor_evm.model.hic_scaffold_68_pilon.16	hypothetical protein
Dcor_evm.model.hic_scaffold_68_pilon.17	PREDICTED: jerky protein homolog-like
Dcor_evm.model.hic_scaffold_68_pilon.18	Protein FAM200A 
Dcor_evm.model.hic_scaffold_68_pilon.19	hypothetical protein AS189_00135
Dcor_evm.model.hic_scaffold_68_pilon.2	PREDICTED: uncharacterized protein LOC107885095
Dcor_evm.model.hic_scaffold_68_pilon.20	HEAT repeat-containing protein 5B, partial
Dcor_evm.model.hic_scaffold_68_pilon.21	Zinc finger MYM-type protein 1
Dcor_evm.model.hic_scaffold_68_pilon.22	hypothetical protein evm_012739
Dcor_evm.model.hic_scaffold_68_pilon.23	hypothetical protein
Dcor_evm.model.hic_scaffold_68_pilon.24	RNA-directed DNA polymerase from mobile element jockey
Dcor_evm.model.hic_scaffold_68_pilon.25	hypothetical protein
Dcor_evm.model.hic_scaffold_68_pilon.26	hypothetical protein
Dcor_evm.model.hic_scaffold_68_pilon.27	hypothetical protein
Dcor_evm.model.hic_scaffold_68_pilon.28	hypothetical protein
Dcor_evm.model.hic_scaffold_68_pilon.29	RNA-directed DNA polymerase from mobile element jockey
Dcor_evm.model.hic_scaffold_68_pilon.3	PREDICTED: tigger transposable element-derived protein 6-like
Dcor_evm.model.hic_scaffold_68_pilon.30	RNA-directed DNA polymerase from mobile element jockey
Dcor_evm.model.hic_scaffold_68_pilon.31	RNA-directed DNA polymerase from mobile element jockey
Dcor_evm.model.hic_scaffold_68_pilon.32	uncharacterized protein LOC111026402
Dcor_evm.model.hic_scaffold_68_pilon.33	uncharacterized protein LOC111026402
Dcor_evm.model.hic_scaffold_68_pilon.34	PREDICTED: uncharacterized protein LOC109541399
Dcor_evm.model.hic_scaffold_68_pilon.35	hypothetical protein
Dcor_evm.model.hic_scaffold_68_pilon.36	histone-lysine N-methyltransferase SETMAR-like
Dcor_evm.model.hic_scaffold_68_pilon.37	nucleic acid binding protein from transposon X element, partial
Dcor_evm.model.hic_scaffold_68_pilon.38	uncharacterized protein LOC112681463
Dcor_evm.model.hic_scaffold_68_pilon.39	Retrovirus-related Pol polyprotein from transposon 297 
Dcor_evm.model.hic_scaffold_68_pilon.4	PREDICTED: tigger transposable element-derived protein 6-like
Dcor_evm.model.hic_scaffold_68_pilon.40	Retrotransposable element Tf2 155 kDa protein type 1
Dcor_evm.model.hic_scaffold_68_pilon.41	hypothetical protein
Dcor_evm.model.hic_scaffold_68_pilon.42	hypothetical protein B7P43_G08920
Dcor_evm.model.hic_scaffold_68_pilon.43	hypothetical protein
Dcor_evm.model.hic_scaffold_68_pilon.44	PREDICTED: uncharacterized protein LOC106712217 isoform X2
Dcor_evm.model.hic_scaffold_68_pilon.45	uncharacterized protein LUCCR_137600, partial
Dcor_evm.model.hic_scaffold_68_pilon.46	hypothetical protein
Dcor_evm.model.hic_scaffold_68_pilon.47	hypothetical protein
Dcor_evm.model.hic_scaffold_68_pilon.48	hypothetical protein
Dcor_evm.model.hic_scaffold_68_pilon.49	hypothetical protein evm_009940
Dcor_evm.model.hic_scaffold_68_pilon.5	uncharacterized protein LOC111356900
Dcor_evm.model.hic_scaffold_68_pilon.50	hypothetical protein evm_009940
Dcor_evm.model.hic_scaffold_68_pilon.6	PREDICTED: uncharacterized protein LOC107069067
Dcor_evm.model.hic_scaffold_68_pilon.7	elongator complex protein, putative
Dcor_evm.model.hic_scaffold_68_pilon.8	hypothetical protein
Dcor_evm.model.hic_scaffold_68_pilon.9	elongator complex protein 1
Dcor_evm.model.hic_scaffold_7_pilon.1	Kinesin-like protein unc-104
Dcor_evm.model.hic_scaffold_7_pilon.10	Tubulin-specific chaperone E
Dcor_evm.model.hic_scaffold_7_pilon.100	Ubiquitin-protein ligase E3C
Dcor_evm.model.hic_scaffold_7_pilon.1000	Monocarboxylate transporter 7
Dcor_evm.model.hic_scaffold_7_pilon.1001	PREDICTED: uncharacterized protein LOC108557840
Dcor_evm.model.hic_scaffold_7_pilon.1002	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1003	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1004	PREDICTED: venom allergen 5-like
Dcor_evm.model.hic_scaffold_7_pilon.1005	PREDICTED: uncharacterized protein LOC108569484
Dcor_evm.model.hic_scaffold_7_pilon.1006	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1007	Synapsin
Dcor_evm.model.hic_scaffold_7_pilon.1008	TBC1 domain family member 30
Dcor_evm.model.hic_scaffold_7_pilon.1009	Glycine dehydrogenase (decarboxylating), mitochondrial
Dcor_evm.model.hic_scaffold_7_pilon.101	Putative 3,4-dihydroxy-2-butanone kinase
Dcor_evm.model.hic_scaffold_7_pilon.1010	Protein transport protein Sec61 subunit alpha isoform 2
Dcor_evm.model.hic_scaffold_7_pilon.1011	MICOS complex subunit MIC10
Dcor_evm.model.hic_scaffold_7_pilon.1012	PREDICTED: uncharacterized protein LOC108560767
Dcor_evm.model.hic_scaffold_7_pilon.1013	Leukocyte elastase inhibitor
Dcor_evm.model.hic_scaffold_7_pilon.1014	Protein sneaky
Dcor_evm.model.hic_scaffold_7_pilon.1015	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1016	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1017	Aromatic-L-amino-acid decarboxylase
Dcor_evm.model.hic_scaffold_7_pilon.1018	Protein tincar
Dcor_evm.model.hic_scaffold_7_pilon.1019	Transcription factor cwo
Dcor_evm.model.hic_scaffold_7_pilon.102	Photoreceptor-specific nuclear receptor
Dcor_evm.model.hic_scaffold_7_pilon.1020	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1021	Glucoside xylosyltransferase 1
Dcor_evm.model.hic_scaffold_7_pilon.1022	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1023	PREDICTED: fibronectin type III domain-containing protein 4 isoform X3
Dcor_evm.model.hic_scaffold_7_pilon.1024	PREDICTED: fibronectin type III domain-containing protein 4 isoform X4
Dcor_evm.model.hic_scaffold_7_pilon.1025	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1026	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1027	PREDICTED: uncharacterized protein LOC108561424 isoform X2
Dcor_evm.model.hic_scaffold_7_pilon.1028	Protein peste
Dcor_evm.model.hic_scaffold_7_pilon.1029	Protein peste
Dcor_evm.model.hic_scaffold_7_pilon.103	PREDICTED: UPF0184 protein AAEL002161
Dcor_evm.model.hic_scaffold_7_pilon.1030	Protein peste
Dcor_evm.model.hic_scaffold_7_pilon.1031	Facilitated trehalose transporter Tret1
Dcor_evm.model.hic_scaffold_7_pilon.1032	4-hydroxyphenylpyruvate dioxygenase
Dcor_evm.model.hic_scaffold_7_pilon.1033	Ras-related protein Rab-26 
Dcor_evm.model.hic_scaffold_7_pilon.1034	Ribonuclease P/MRP protein subunit POP5
Dcor_evm.model.hic_scaffold_7_pilon.1035	FGGY carbohydrate kinase domain-containing protein 
Dcor_evm.model.hic_scaffold_7_pilon.1036	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1037	uncharacterized protein LOC108904565
Dcor_evm.model.hic_scaffold_7_pilon.1038	uncharacterized protein LOC108904566
Dcor_evm.model.hic_scaffold_7_pilon.1039	Transport and Golgi organization protein 1 
Dcor_evm.model.hic_scaffold_7_pilon.104	Solute carrier family 25 member 51
Dcor_evm.model.hic_scaffold_7_pilon.1040	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1041	uncharacterized protein LOC111413387
Dcor_evm.model.hic_scaffold_7_pilon.1042	NUAK family SNF1-like kinase 1 
Dcor_evm.model.hic_scaffold_7_pilon.1043	RNA pseudouridylate synthase domain-containing protein 2
Dcor_evm.model.hic_scaffold_7_pilon.1044	Another transcription unit protein
Dcor_evm.model.hic_scaffold_7_pilon.1045	T-cell activation inhibitor, mitochondrial
Dcor_evm.model.hic_scaffold_7_pilon.1046	MutS protein homolog 4
Dcor_evm.model.hic_scaffold_7_pilon.1047	PREDICTED: cell wall protein IFF6-like
Dcor_evm.model.hic_scaffold_7_pilon.1048	Another transcription unit protein 
Dcor_evm.model.hic_scaffold_7_pilon.1049	PREDICTED: uncharacterized protein LOC108561579
Dcor_evm.model.hic_scaffold_7_pilon.105	PREDICTED: uncharacterized protein LOC103313751
Dcor_evm.model.hic_scaffold_7_pilon.1050	Peptidoglycan recognition protein
Dcor_evm.model.hic_scaffold_7_pilon.1051	Peptidoglycan-recognition protein LE
Dcor_evm.model.hic_scaffold_7_pilon.1052	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1053	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1054	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1055	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1056	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1057	MAGUK p55 subfamily member 6
Dcor_evm.model.hic_scaffold_7_pilon.1058	Nuclear pore complex protein Nup93-1
Dcor_evm.model.hic_scaffold_7_pilon.1059	ADP-ribosylation factor-like protein 2-binding protein
Dcor_evm.model.hic_scaffold_7_pilon.106	uncharacterized protein LOC111416897
Dcor_evm.model.hic_scaffold_7_pilon.1060	Protein archease-like
Dcor_evm.model.hic_scaffold_7_pilon.1061	PREDICTED: partner of xrn-2 protein 1-like
Dcor_evm.model.hic_scaffold_7_pilon.1062	Coiled-coil domain-containing protein 28A
Dcor_evm.model.hic_scaffold_7_pilon.1063	Dedicator of cytokinesis protein 7
Dcor_evm.model.hic_scaffold_7_pilon.1064	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1065	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1066	PREDICTED: uncharacterized protein LOC108556932
Dcor_evm.model.hic_scaffold_7_pilon.1067	Coiled-coil domain-containing protein CG32809
Dcor_evm.model.hic_scaffold_7_pilon.1068	Coiled-coil domain-containing protein AGAP005037
Dcor_evm.model.hic_scaffold_7_pilon.1069	Xaa-Pro dipeptidase 
Dcor_evm.model.hic_scaffold_7_pilon.107	Venom dipeptidyl peptidase 4
Dcor_evm.model.hic_scaffold_7_pilon.1070	Extracellular sulfatase SULF-1 homolog 
Dcor_evm.model.hic_scaffold_7_pilon.1071	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1072	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1073	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1074	60S ribosomal protein L35a
Dcor_evm.model.hic_scaffold_7_pilon.1075	PREDICTED: uncharacterized protein LOC108568307
Dcor_evm.model.hic_scaffold_7_pilon.1076	Rhodopsin
Dcor_evm.model.hic_scaffold_7_pilon.1077	Advillin 
Dcor_evm.model.hic_scaffold_7_pilon.1078	Rho-associated protein kinase 1
Dcor_evm.model.hic_scaffold_7_pilon.1079	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4
Dcor_evm.model.hic_scaffold_7_pilon.108	zinc finger protein 184-like
Dcor_evm.model.hic_scaffold_7_pilon.1080	PREDICTED: uncharacterized protein LOC108557705
Dcor_evm.model.hic_scaffold_7_pilon.1081	PREDICTED: cell division cycle-associated protein 3-like
Dcor_evm.model.hic_scaffold_7_pilon.1082	RNA-binding protein 48
Dcor_evm.model.hic_scaffold_7_pilon.1083	SPRY domain-containing SOCS box protein 3
Dcor_evm.model.hic_scaffold_7_pilon.1084	Extracellular sulfatase SULF-1 homolog
Dcor_evm.model.hic_scaffold_7_pilon.1085	PREDICTED: uncharacterized protein LOC108558240 isoform X1
Dcor_evm.model.hic_scaffold_7_pilon.1086	PREDICTED: uncharacterized protein LOC108558244
Dcor_evm.model.hic_scaffold_7_pilon.1087	PREDICTED: uncharacterized protein LOC108558244
Dcor_evm.model.hic_scaffold_7_pilon.1088	PREDICTED: uncharacterized protein LOC108557955 isoform X1
Dcor_evm.model.hic_scaffold_7_pilon.1089	Serotriflin
Dcor_evm.model.hic_scaffold_7_pilon.109	DnaJ homolog shv
Dcor_evm.model.hic_scaffold_7_pilon.1090	Protein phosphatase PHLPP-like protein
Dcor_evm.model.hic_scaffold_7_pilon.1091	LIM/homeobox protein Lhx3 (Fragment)
Dcor_evm.model.hic_scaffold_7_pilon.1092	LIM/homeobox protein Lhx3
Dcor_evm.model.hic_scaffold_7_pilon.1093	LIM/homeobox protein Lhx3 isoform X1
Dcor_evm.model.hic_scaffold_7_pilon.1094	Cilia- and flagella-associated protein 47 
Dcor_evm.model.hic_scaffold_7_pilon.1095	Aromatic-L-amino-acid decarboxylase
Dcor_evm.model.hic_scaffold_7_pilon.1096	Peroxisomal N(1)-acetyl-spermine/spermidine oxidase
Dcor_evm.model.hic_scaffold_7_pilon.1097	Aromatic-L-amino-acid decarboxylase
Dcor_evm.model.hic_scaffold_7_pilon.1098	PREDICTED: uncharacterized protein LOC108562896
Dcor_evm.model.hic_scaffold_7_pilon.1099	Tetratricopeptide repeat protein 19 homolog, mitochondrial
Dcor_evm.model.hic_scaffold_7_pilon.11	U3 small nucleolar RNA-associated protein 18 homolog
Dcor_evm.model.hic_scaffold_7_pilon.110	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1100	Protein catecholamines up
Dcor_evm.model.hic_scaffold_7_pilon.1101	Proteasome subunit alpha type-7-1
Dcor_evm.model.hic_scaffold_7_pilon.1102	Probable NADH dehydrogenase iron-sulfur protein 6, mitochondrial
Dcor_evm.model.hic_scaffold_7_pilon.1103	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1104	Polycomb protein Asx
Dcor_evm.model.hic_scaffold_7_pilon.1105	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1106	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1107	POU domain protein CF1A
Dcor_evm.model.hic_scaffold_7_pilon.1108	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1109	uncharacterized protein LOC111421859
Dcor_evm.model.hic_scaffold_7_pilon.111	uncharacterized protein LOC111503061
Dcor_evm.model.hic_scaffold_7_pilon.1110	DnaJ homolog subfamily C member 7
Dcor_evm.model.hic_scaffold_7_pilon.1111	Ribonucleoside-diphosphate reductase subunit M2
Dcor_evm.model.hic_scaffold_7_pilon.1112	Cytochrome P450 302a1, mitochondrial
Dcor_evm.model.hic_scaffold_7_pilon.1113	Ninjurin-1
Dcor_evm.model.hic_scaffold_7_pilon.1114	Vacuolar protein sorting-associated protein 37A
Dcor_evm.model.hic_scaffold_7_pilon.1115	GPI mannosyltransferase 2 
Dcor_evm.model.hic_scaffold_7_pilon.1116	Queuosine salvage protein
Dcor_evm.model.hic_scaffold_7_pilon.1117	Cyclic nucleotide-gated cation channel beta-1
Dcor_evm.model.hic_scaffold_7_pilon.1118	DnaJ homolog subfamily A member 2
Dcor_evm.model.hic_scaffold_7_pilon.1119	Pseudouridylate synthase 7 homolog
Dcor_evm.model.hic_scaffold_7_pilon.112	Inactive dipeptidyl peptidase 10
Dcor_evm.model.hic_scaffold_7_pilon.1120	zinc finger protein 239-like
Dcor_evm.model.hic_scaffold_7_pilon.1121	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1122	Ras-related and estrogen-regulated growth inhibitor-like protein
Dcor_evm.model.hic_scaffold_7_pilon.1123	PREDICTED: uncharacterized protein LOC108563667
Dcor_evm.model.hic_scaffold_7_pilon.1124	PREDICTED: uncharacterized protein LOC108563667
Dcor_evm.model.hic_scaffold_7_pilon.1125	Zinc finger protein chinmo
Dcor_evm.model.hic_scaffold_7_pilon.1126	Tyrosine-protein phosphatase non-receptor type 23
Dcor_evm.model.hic_scaffold_7_pilon.1127	trypsin-4-like
Dcor_evm.model.hic_scaffold_7_pilon.1128	Snake venom serine protease gussurobin
Dcor_evm.model.hic_scaffold_7_pilon.1129	GTP-binding protein RHO4
Dcor_evm.model.hic_scaffold_7_pilon.113	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1130	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1131	uncharacterized protein LUCCR_123410
Dcor_evm.model.hic_scaffold_7_pilon.1132	Plasma kallikrein
Dcor_evm.model.hic_scaffold_7_pilon.1133	Kallikrein 1-related peptidase b11
Dcor_evm.model.hic_scaffold_7_pilon.1134	chymotrypsin-1-like
Dcor_evm.model.hic_scaffold_7_pilon.1135	Trypsin-1
Dcor_evm.model.hic_scaffold_7_pilon.1136	Kallikrein 1-related peptidase b11
Dcor_evm.model.hic_scaffold_7_pilon.1137	PREDICTED: uncharacterized protein LOC108557357
Dcor_evm.model.hic_scaffold_7_pilon.1138	PREDICTED: lymphocyte antigen 75-like isoform X3
Dcor_evm.model.hic_scaffold_7_pilon.1139	Protein vestigial
Dcor_evm.model.hic_scaffold_7_pilon.114	PREDICTED: uncharacterized protein LOC108569121
Dcor_evm.model.hic_scaffold_7_pilon.1140	Popeye domain-containing protein 3-like
Dcor_evm.model.hic_scaffold_7_pilon.1141	Protein muscleblind
Dcor_evm.model.hic_scaffold_7_pilon.1142	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1143	Protein muscleblind
Dcor_evm.model.hic_scaffold_7_pilon.1144	muscleblind-like protein 1, partial
Dcor_evm.model.hic_scaffold_7_pilon.1145	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1146	Armadillo repeat-containing protein 2 
Dcor_evm.model.hic_scaffold_7_pilon.1147	Eukaryotic translation initiation factor 4E-binding protein Mextli
Dcor_evm.model.hic_scaffold_7_pilon.1148	RNA-binding protein 39
Dcor_evm.model.hic_scaffold_7_pilon.1149	SUMO-activating enzyme subunit 1
Dcor_evm.model.hic_scaffold_7_pilon.115	Glycerophosphocholine phosphodiesterase GPCPD1
Dcor_evm.model.hic_scaffold_7_pilon.1150	DNA-directed RNA polymerases I, II, and III subunit RPABC2
Dcor_evm.model.hic_scaffold_7_pilon.1151	DNA-directed RNA polymerases I, II, and III subunit RPABC2
Dcor_evm.model.hic_scaffold_7_pilon.1152	Carnitine O-acetyltransferase
Dcor_evm.model.hic_scaffold_7_pilon.1153	Actin-related protein 2/3 complex subunit 5-C
Dcor_evm.model.hic_scaffold_7_pilon.1154	Isovaleryl-CoA dehydrogenase, mitochondrial
Dcor_evm.model.hic_scaffold_7_pilon.1155	DNA-directed RNA polymerase III subunit RPC2
Dcor_evm.model.hic_scaffold_7_pilon.1156	DNA-directed RNA polymerase III subunit RPC2
Dcor_evm.model.hic_scaffold_7_pilon.1157	Palmitoyltransferase app
Dcor_evm.model.hic_scaffold_7_pilon.1158	Chromatin modification-related protein MEAF6
Dcor_evm.model.hic_scaffold_7_pilon.1159	PREDICTED: transient receptor potential cation channel subfamily V member 5
Dcor_evm.model.hic_scaffold_7_pilon.116	Serine/threonine-protein phosphatase 1 regulatory subunit 10
Dcor_evm.model.hic_scaffold_7_pilon.1160	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase
Dcor_evm.model.hic_scaffold_7_pilon.1161	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1162	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1163	hypothetical protein AMK59_8330, partial
Dcor_evm.model.hic_scaffold_7_pilon.1164	Long-chain fatty acid transport protein 4 
Dcor_evm.model.hic_scaffold_7_pilon.1165	PREDICTED: protein grindelwald isoform X1
Dcor_evm.model.hic_scaffold_7_pilon.1166	Charged multivesicular body protein 1b
Dcor_evm.model.hic_scaffold_7_pilon.1167	E3 ubiquitin-protein ligase MARCH8
Dcor_evm.model.hic_scaffold_7_pilon.1168	Probable nuclear hormone receptor HR38
Dcor_evm.model.hic_scaffold_7_pilon.1169	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.117	28S ribosomal protein S18b, mitochondrial
Dcor_evm.model.hic_scaffold_7_pilon.1170	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1171	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.1172	Importin subunit beta
Dcor_evm.model.hic_scaffold_7_pilon.1173	Carcinine transporter
Dcor_evm.model.hic_scaffold_7_pilon.1174	Activating molecule in BECN1-regulated autophagy protein 1
Dcor_evm.model.hic_scaffold_7_pilon.1175	Activating molecule in BECN1-regulated autophagy protein 1
Dcor_evm.model.hic_scaffold_7_pilon.1176	Chromobox protein homolog 5
Dcor_evm.model.hic_scaffold_7_pilon.1177	Histone H4 transcription factor
Dcor_evm.model.hic_scaffold_7_pilon.1178	Uncharacterized protein C9orf85 homolog
Dcor_evm.model.hic_scaffold_7_pilon.1179	hypothetical protein BDFB_005531
Dcor_evm.model.hic_scaffold_7_pilon.118	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1
Dcor_evm.model.hic_scaffold_7_pilon.1180	Protein Mpv17
Dcor_evm.model.hic_scaffold_7_pilon.1181	PREDICTED: diuretic hormone 45 isoform X1
Dcor_evm.model.hic_scaffold_7_pilon.1182	Regucalcin
Dcor_evm.model.hic_scaffold_7_pilon.1183	Protein FAM32A
Dcor_evm.model.hic_scaffold_7_pilon.1184	Insulin-like growth factor 2 mRNA-binding protein 1
Dcor_evm.model.hic_scaffold_7_pilon.1185	Secernin-1
Dcor_evm.model.hic_scaffold_7_pilon.1186	Sorting nexin-13
Dcor_evm.model.hic_scaffold_7_pilon.1187	Elongation of very long chain fatty acids protein 6
Dcor_evm.model.hic_scaffold_7_pilon.1188	Histone acetyltransferase KAT2B
Dcor_evm.model.hic_scaffold_7_pilon.1189	hypothetical protein
Dcor_evm.model.hic_scaffold_7_pilon.119	Kinesin-like protein KIF14
Dcor_evm.model.hic_scaffold_7_pilon.1190	Neuroguidin-A
Dcor_evm.model.hic_scaffold_7_pilon.1191	CDK5 and ABL1 enzyme substrate 1
Dcor_evm.model.hic_scaffold_7_pilon.1192	Protein O-mannosyltransferase 1
Dcor_evm.model.hic_scaffold_7_pilon.1193	Proteasome subunit beta type-7
Dcor_evm.model.hic_scaffold_7_pilon.1194	E3 ubiquitin-protein ligase RNF31
Dcor_evm.model.hic_scaffold_7_pilon.1195	PREDICTED: titin homolog
Dcor_evm.model.hic_scaffold_7_pilon.1196	hypothetical protein
